timestamp,address,date,type,weather,road_conditions,lightning,vehicles,num_of_participants,num_dead,num_injured,lon,lat
2018-11-29T09:44:00Z,"Трусовский район, г Астрахань, ул Хибинская, 2",2018-11-29,Столкновение,Пасмурно,Гололедица,Светлое время суток,2,2,0,1,47.99818,46.367946
2018-11-29T10:45:00Z,"Ленинский район, г Астрахань, ул Балашовская, 13",2018-11-29,Столкновение,Ясно,Гололедица,Светлое время суток,2,2,0,1,48.080852,46.365651
2018-11-29T17:25:00Z,"Ленинский район, г Астрахань, ул 28 Армии, .",2018-11-29,Наезд на пешехода,Пасмурно,Мокрое,Светлое время суток,1,2,0,1,48.054298,46.373443
2018-11-29T08:00:00Z,"Ленинский район, г Астрахань",2018-11-29,Наезд на препятствие,Пасмурно,Мокрое,Светлое время суток,1,1,0,1,48.106787,46.394381
2018-11-28T08:40:00Z,"Ленинский район, г Астрахань, ул Ахтубинская, 15",2018-11-28,Наезд на стоящее ТС,Пасмурно,Мокрое,Светлое время суток,2,3,0,2,48.078696,46.368282
2018-11-28T09:00:00Z,Володарский район,2018-11-28,Столкновение,Пасмурно,Мокрое,Светлое время суток,2,3,0,1,42.985096,56.328289
2018-11-28T17:10:00Z,"Приволжский район, п Кирпичного Завода N1, ул 40 лет ВЛКСМ, 1",2018-11-28,Столкновение,Пасмурно,Мокрое,"В темное время суток, освещение включено",2,2,0,1,48.077376,46.251542
2018-11-28T12:30:00Z,"Советский район, г Астрахань, ул Боевая, 36",2018-11-28,Наезд на пешехода,Пасмурно,Мокрое,Светлое время суток,1,2,0,1,48.02089,46.338388
2018-11-28T12:30:00Z,"Ленинский район, г Астрахань, ул Анри Барбюса, 32",2018-11-28,Столкновение,Пасмурно,Мокрое,Светлое время суток,2,3,0,1,48.051325,46.36136
2018-11-27T07:05:00Z,Приволжский район,2018-11-27,Наезд на пешехода,Пасмурно,Мокрое,"В темное время суток, освещение отсутствует",1,2,1,0,41.397288,57.339991
2018-11-27T12:00:00Z,"Ленинский район, г Астрахань, ул Татищева, 16 Г",2018-11-27,Столкновение,Пасмурно,Мокрое,Светлое время суток,5,5,0,1,48.053993,46.375402
2018-11-27T21:50:00Z,Приволжский район,2018-11-27,Столкновение,Ясно,Сухое,"В темное время суток, освещение отсутствует",3,3,0,2,41.397288,57.339991
2018-11-27T14:05:00Z,"Советский район, г Астрахань, ул Звездная, 29 Б",2018-11-27,Наезд на препятствие,Пасмурно,Мокрое,Светлое время суток,1,2,0,2,48.059383,46.330529
2018-11-27T15:30:00Z,"Кировский район, г Астрахань, ул Челюскинцев, 87",2018-11-27,Наезд на пешехода,Пасмурно,Мокрое,Светлое время суток,1,2,0,1,48.038497,46.344653
2018-11-27T09:50:00Z,"Кировский район, г Астрахань, ул Коммунистическая, 9",2018-11-27,Столкновение,Ясно,Сухое,Светлое время суток,2,3,0,1,48.041677,46.350656
