timestamp,address,vehicle_id,type_of_vehicle,model_of_vehicle,color,technical_issues,year,engine_location,is_escaped
2018-11-29T09:44:00Z,"Трусовский район, г Астрахань, ул Хибинская, 2",ТС1,"В-класс (малый) до 3,9 м","ВАЗ ВАЗ 2111, 21110 (универсал), 21113, 21114",Серый,Технические неисправности отсутствуют,2002,Передний,Нет
2018-11-29T09:44:00Z,"Трусовский район, г Астрахань, ул Хибинская, 2",ТС2,"В-класс (малый) до 3,9 м",HYUNDAI Solaris,Серый,Технические неисправности отсутствуют,2014,Задний,Нет
2018-11-29T10:45:00Z,"Ленинский район, г Астрахань, ул Балашовская, 13",ТС1,"В-класс (малый) до 3,9 м",HYUNDAI Accent,Серый,Технические неисправности отсутствуют,2004,Передний,Нет
2018-11-29T10:45:00Z,"Ленинский район, г Астрахань, ул Балашовская, 13",ТС2,Бортовые грузовые автомобили,ГАЗ Прочие модели ГАЗ,Иные цвета,Технические неисправности отсутствуют,2005,Передний,Нет
2018-11-29T17:25:00Z,"Ленинский район, г Астрахань, ул 28 Армии, .",ТС1,"В-класс (малый) до 3,9 м",NISSAN Tiida,Желтый,Технические неисправности отсутствуют,2005,Задний,Нет
2018-11-29T08:00:00Z,"Ленинский район, г Астрахань",ТС1,"В-класс (малый) до 3,9 м",ВАЗ ВАЗ 2114 и модификации,Белый,Технические неисправности отсутствуют,2005,Передний,NA
2018-11-28T08:40:00Z,"Ленинский район, г Астрахань, ул Ахтубинская, 15",ТС1,Минивэны и универсалы повышенной вместимости,KIA Sorento,Белый,Технические неисправности отсутствуют,2013,Передний,Нет
2018-11-28T08:40:00Z,"Ленинский район, г Астрахань, ул Ахтубинская, 15",ТС2,"В-класс (малый) до 3,9 м",NISSAN Cefiro,Черный,Иные неисправности,1999,Передний,Нет
2018-11-28T09:00:00Z,Володарский район,ТС1,"А-класс (особо малый) до 3,5 м",VOLKSWAGEN Polo,Белый,Технические неисправности отсутствуют,2016,Передний,Нет
2018-11-28T09:00:00Z,Володарский район,ТС2,"А-класс (особо малый) до 3,5 м",ВАЗ Kalina,Иные цвета,Технические неисправности отсутствуют,2010,Передний,Нет
2018-11-28T17:10:00Z,"Приволжский район, п Кирпичного Завода N1, ул 40 лет ВЛКСМ, 1",ТС1,"А-класс (особо малый) до 3,5 м",CHEVROLET Aveo,Серый,Технические неисправности отсутствуют,2006,Передний,Нет
2018-11-28T17:10:00Z,"Приволжский район, п Кирпичного Завода N1, ул 40 лет ВЛКСМ, 1",ТС2,"А-класс (особо малый) до 3,5 м","ВАЗ ВАЗ 2110, 21101, 21102, 21103, 21108",Серый,Технические неисправности отсутствуют,2005,Передний,Нет
2018-11-28T12:30:00Z,"Советский район, г Астрахань, ул Боевая, 36",ТС1,"В-класс (малый) до 3,9 м",TOYOTA Corolla,Синий,Технические неисправности отсутствуют,2007,Передний,Нет
2018-11-28T12:30:00Z,"Ленинский район, г Астрахань, ул Анри Барбюса, 32",ТС1,Минивэны и универсалы повышенной вместимости,CHEVROLET Niva,Серый,Технические неисправности отсутствуют,2005,Полноприводный,Нет
2018-11-28T12:30:00Z,"Ленинский район, г Астрахань, ул Анри Барбюса, 32",ТС2,"В-класс (малый) до 3,9 м","HYUNDAI Elantra (Lantra, Avante)",Белый,Технические неисправности отсутствуют,2017,Передний,Нет
2018-11-27T07:05:00Z,Приволжский район,ТС1,"В-класс (малый) до 3,9 м",OPEL Vectra,Синий,Технические неисправности отсутствуют,1998,Передний,Нет
2018-11-27T12:00:00Z,"Ленинский район, г Астрахань, ул Татищева, 16 Г",ТС1,"В-класс (малый) до 3,9 м",CHEVROLET Aveo,Черный,Технические неисправности отсутствуют,2011,Передний,Нет
2018-11-27T12:00:00Z,"Ленинский район, г Астрахань, ул Татищева, 16 Г",ТС2,"В-класс (малый) до 3,9 м",HYUNDAI Solaris,Белый,Технические неисправности отсутствуют,2015,Передний,Нет
2018-11-27T12:00:00Z,"Ленинский район, г Астрахань, ул Татищева, 16 Г",ТС3,"В-класс (малый) до 3,9 м",NISSAN Almera,Белый,Технические неисправности отсутствуют,2017,Передний,Нет
2018-11-27T12:00:00Z,"Ленинский район, г Астрахань, ул Татищева, 16 Г",ТС4,"В-класс (малый) до 3,9 м",ВАЗ Granta (Гранта),Красный,Технические неисправности отсутствуют,2012,Задний,Нет
2018-11-27T12:00:00Z,"Ленинский район, г Астрахань, ул Татищева, 16 Г",ТС5,"В-класс (малый) до 3,9 м",FORD Focus,Серый,Технические неисправности отсутствуют,2000,Задний,Нет
2018-11-27T21:50:00Z,Приволжский район,ТС1,"В-класс (малый) до 3,9 м",MITSUBISHI Прочие модели Mitsubishi,Черный,Технические неисправности отсутствуют,2003,Передний,Нет
2018-11-27T21:50:00Z,Приволжский район,ТС2,"В-класс (малый) до 3,9 м",ВАЗ Kalina,Синий,Технические неисправности отсутствуют,2008,Передний,Нет
2018-11-27T21:50:00Z,Приволжский район,ТС3,"В-класс (малый) до 3,9 м",ВАЗ ВАЗ 2114 и модификации,Многоцветный,Технические неисправности отсутствуют,2010,Задний,Нет
2018-11-27T14:05:00Z,"Советский район, г Астрахань, ул Звездная, 29 Б",ТС1,"В-класс (малый) до 3,9 м",CITROEN Прочие модели Citroen,Серый,Технические неисправности отсутствуют,2013,Передний,Нет
2018-11-27T15:30:00Z,"Кировский район, г Астрахань, ул Челюскинцев, 87",ТС1,"В-класс (малый) до 3,9 м",CHEVROLET Epica,Белый,Технические неисправности отсутствуют,2010,Передний,Нет
2018-11-27T09:50:00Z,"Кировский район, г Астрахань, ул Коммунистическая, 9",ТС1,Одноэтажные длиной от 5 до 8 м,FORD Transit,Белый,Технические неисправности отсутствуют,2007,Передний,Нет
2018-11-27T09:50:00Z,"Кировский район, г Астрахань, ул Коммунистическая, 9",ТС2,"В-класс (малый) до 3,9 м",HONDA Civic,Серый,Технические неисправности отсутствуют,2004,Задний,Нет
2018-11-26T15:15:00Z,"Кировский район, г Астрахань, ул Победы, 54",ТС1,"В-класс (малый) до 3,9 м","ВАЗ  Жигули  ВАЗ-2108, 09 и модификации",Зеленый,Технические неисправности отсутствуют,2003,Передний,Нет
2018-11-26T15:15:00Z,"Кировский район, г Астрахань, ул Победы, 54",ТС2,"В-класс (малый) до 3,9 м",ВАЗ  Жигули  ВАЗ-2107 модификации,Серый,Технические неисправности отсутствуют,2011,Передний,Нет
2018-11-26T15:15:00Z,"Кировский район, г Астрахань, ул Победы, 54",ТС3,"В-класс (малый) до 3,9 м",ВАЗ  Жигули  ВАЗ-2105 модификации,Красный,Технические неисправности отсутствуют,2006,Передний,Нет
2018-11-26T09:50:00Z,"Трусовский район, г Астрахань, ул Магистральная, .",ТС1,"В-класс (малый) до 3,9 м","ВАЗ ВАЗ 2110, 21101, 21102, 21103, 21108",Синий,Технические неисправности отсутствуют,2002,Передний,Нет
2018-11-26T09:50:00Z,"Трусовский район, г Астрахань, ул Магистральная, .",ТС2,"В-класс (малый) до 3,9 м",RENAULT Sandero,Синий,Технические неисправности отсутствуют,2011,Передний,Нет
2018-11-26T10:00:00Z,"Советский район, г Астрахань, ул Космонавтов, 5 Б",ТС1,"В-класс (малый) до 3,9 м",NISSAN Sunny,Белый,Технические неисправности отсутствуют,2003,Задний,Нет
2018-11-25T00:21:00Z,Черноярский район,ТС1,"В-класс (малый) до 3,9 м",ВАЗ  Жигули  ВАЗ-2107 модификации,Зеленый,Технические неисправности отсутствуют,2007,Задний,Нет
2018-11-24T10:10:00Z,"Ленинский район, г Астрахань, ул Яблочкова, 36",ТС1,"В-класс (малый) до 3,9 м",CHEVROLET Прочие модели Chevrolet,Иные цвета,Технические неисправности отсутствуют,2012,Передний,Нет
2018-11-24T10:10:00Z,"Ленинский район, г Астрахань, ул Яблочкова, 36",ТС2,"В-класс (малый) до 3,9 м",ВАЗ Granta (Гранта),Синий,Технические неисправности отсутствуют,2013,Задний,Нет
2018-11-24T19:45:00Z,Енотаевский район,ТС1,Прочие легковые автомобили,ВАЗ Priora,Иные цвета,Технические неисправности отсутствуют,2008,Передний,Нет
2018-11-24T21:00:00Z,"Кировский район, г Астрахань, пр-кт Губернатора Анатолия Гужвина, 3",ТС1,"В-класс (малый) до 3,9 м",ВАЗ ВАЗ 2114 и модификации,Серый,Технические неисправности отсутствуют,2009,Передний,Нет
2018-11-23T17:30:00Z,"Ленинский район, г Астрахань, ул Латышева, 3 Г",ТС1,"В-класс (малый) до 3,9 м",CHEVROLET Прочие модели Chevrolet,Серый,Технические неисправности отсутствуют,2010,Передний,Нет
2018-11-23T18:28:00Z,Ахтубинский район,ТС1,"В-класс (малый) до 3,9 м",GEELY Emgrand,Черный,Технические неисправности отсутствуют,2016,Передний,Нет
2018-11-23T18:28:00Z,Ахтубинский район,ТС2,Прочие одноярусные,"ГАЗ 3221  Газель , 32217, 32213, 32212, 322172, 322132, 322133 и модификации",Белый,Технические неисправности отсутствуют,2003,Передний,Нет
2018-11-23T11:30:00Z,Наримановский район,ТС1,"В-класс (малый) до 3,9 м",ВАЗ Priora,Многоцветный,Технические неисправности отсутствуют,2008,Задний,Нет
2018-11-23T11:30:00Z,Наримановский район,ТС2,Прочие одноярусные,"ГАЗ 3221  Газель , 32217, 32213, 32212, 322172, 322132, 322133 и модификации",Белый,Технические неисправности отсутствуют,2011,Задний,Нет
2018-11-22T21:10:00Z,Енотаевский район,ТС1,Седельные тягачи,МАЗ Прочие модели МАЗ,Белый,Технические неисправности отсутствуют,2008,Задний,Нет
2018-11-22T21:10:00Z,Енотаевский район,ТС2,Седельные тягачи,SCANIA Прочие модели Scania,Белый,Технические неисправности отсутствуют,2016,Задний,Нет
2018-11-22T09:20:00Z,"Советский район, г Астрахань, ул Моздокская, 38 В",ТС1,Минивэны и универсалы повышенной вместимости,CHEVROLET Trailblazer,Синий,Технические неисправности отсутствуют,2007,Передний,Нет
2018-11-22T09:20:00Z,"Советский район, г Астрахань, ул Моздокская, 38 В",ТС2,"В-класс (малый) до 3,9 м",RENAULT Sandero,Серый,Технические неисправности отсутствуют,2013,Задний,Нет
2018-11-22T13:25:00Z,"Енотаевский район, с Никольское, ул Советская, 43",ТС1,Прочие легковые автомобили,NA,NA,Технические неисправности отсутствуют,NA,NA,Да
2018-11-21T18:40:00Z,Приволжский район,ТС1,"В-класс (малый) до 3,9 м",AUDI Прочие модели Audi,Черный,Технические неисправности отсутствуют,1991,Задний,Нет
2018-11-21T18:40:00Z,Приволжский район,ТС2,"В-класс (малый) до 3,9 м","ВАЗ ВАЗ 2110, 21101, 21102, 21103, 21108",Серый,Технические неисправности отсутствуют,2006,Передний,Нет
2018-11-21T09:30:00Z,"Кировский район, г Астрахань, ул Адмиралтейская, 39",ТС1,Прочие одноярусные,PEUGEOT Boxer,Белый,"На одну ось ТС установлены шины различных размеров, конструкций (радиальной, диагональной, камерной, бескамерной), моделей, с различными рисунками протектора. На ТС одновременно установлены ошипованные и неошипованные шины",2011,Задний,Нет
2018-11-21T15:25:00Z,"Советский район, г Астрахань, ул Боевая, 83 В",ТС1,"В-класс (малый) до 3,9 м",Datsun on-DO,Серый,Технические неисправности отсутствуют,2015,Передний,Нет
2018-11-21T15:25:00Z,"Советский район, г Астрахань, ул Боевая, 83 В",ТС2,"В-класс (малый) до 3,9 м","HYUNDAI Elantra (Lantra, Avante)",Белый,Технические неисправности отсутствуют,2016,Передний,Нет
2018-11-21T16:20:00Z,"Ленинский район, г Астрахань, ул Староверова, 37",ТС1,"В-класс (малый) до 3,9 м",AUDI А6,Черный,Технические неисправности отсутствуют,1995,Полноприводный,Нет
2018-11-21T12:45:00Z,"Ленинский район, г Астрахань, ул Жилая, 1",ТС1,"В-класс (малый) до 3,9 м",KIA Rio,Черный,Технические неисправности отсутствуют,2014,Передний,Нет
2018-11-21T12:45:00Z,"Ленинский район, г Астрахань, ул Жилая, 1",ТС2,"В-класс (малый) до 3,9 м","ВАЗ ВАЗ 2110, 21101, 21102, 21103, 21108",Серый,Технические неисправности отсутствуют,2005,Передний,Нет
2018-11-20T16:30:00Z,"Ленинский район, г Астрахань, ул Анри Барбюса, 32",ТС1,"В-класс (малый) до 3,9 м",ВАЗ Priora,Серый,Технические неисправности отсутствуют,2009,Передний,Нет
2018-11-20T16:30:00Z,"Ленинский район, г Астрахань, ул Анри Барбюса, 32",ТС2,"В-класс (малый) до 3,9 м",ВАЗ ВАЗ 2114 и модификации,Белый,Технические неисправности отсутствуют,2012,Передний,Нет
2018-11-20T18:35:00Z,"Кировский район, г Астрахань, ул Волжская, 5",ТС1,"В-класс (малый) до 3,9 м",GEELY MK,Красный,Технические неисправности отсутствуют,2012,Задний,Нет
2018-11-19T14:25:00Z,"Лиманский район, с Лесное, ул Ленина, 102",ТС1,"А-класс (особо малый) до 3,5 м",ВАЗ  Жигули  ВАЗ-2107 модификации,Синий,Технические неисправности отсутствуют,2003,Передний,Нет
2018-11-19T19:03:00Z,Икрянинский район,ТС1,"А-класс (особо малый) до 3,5 м","ВАЗ  Жигули  ВАЗ-2108, 09 и модификации",Зеленый,Технические неисправности отсутствуют,2000,Задний,Нет
2018-11-19T19:03:00Z,Икрянинский район,ТС2,Фургоны,КАМАЗ 5321,Красный,Технические неисправности отсутствуют,1994,Передний,Нет
2018-11-19T20:00:00Z,Наримановский район,ТС1,"А-класс (особо малый) до 3,5 м",MAZDA Mazda 3,Белый,Технические неисправности отсутствуют,2014,Передний,Нет
2018-11-19T20:00:00Z,Наримановский район,ТС2,"В-класс (малый) до 3,9 м",ВАЗ Granta (Гранта),Серый,Технические неисправности отсутствуют,2015,Передний,Нет
2018-11-18T16:25:00Z,Ахтубинский район,ТС1,"В-класс (малый) до 3,9 м","ВАЗ ВАЗ 2110, 21101, 21102, 21103, 21108",Зеленый,Не устанавливались,2001,Передний,Нет
2018-11-17T14:30:00Z,"Ленинский район, г Астрахань, ул Соликамская 2-я, 2 Б",ТС1,"В-класс (малый) до 3,9 м",HONDA Stepwgn,Серый,Технические неисправности отсутствуют,2010,Передний,Нет
2018-11-17T14:30:00Z,"Ленинский район, г Астрахань, ул Соликамская 2-я, 2 Б",ТС2,"В-класс (малый) до 3,9 м",CHEVROLET Cruze,Черный,Технические неисправности отсутствуют,2012,Задний,Нет
2018-11-17T11:50:00Z,"Кировский район, г Астрахань, ул Зеленая, 47",ТС1,"В-класс (малый) до 3,9 м",TOYOTA Funcargo,Серый,Технические неисправности отсутствуют,2000,Передний,Нет
2018-11-17T11:50:00Z,"Кировский район, г Астрахань, ул Зеленая, 47",ТС2,Одноэтажные длиной от 5 до 8 м,ГАЗ Прочие модели ГАЗ,Белый,Технические неисправности отсутствуют,2017,Задний,Нет
2018-11-17T08:30:00Z,"Советский район, г Астрахань, ул Звездная, .",ТС1,"В-класс (малый) до 3,9 м",ВАЗ ВАЗ 2115 и модификации,Серый,Технические неисправности отсутствуют,2008,Передний,Нет
2018-11-17T08:30:00Z,"Советский район, г Астрахань, ул Звездная, .",ТС2,"В-класс (малый) до 3,9 м","HYUNDAI Elantra (Lantra, Avante)",Черный,Технические неисправности отсутствуют,2011,Задний,Нет
2018-11-17T16:25:00Z,"Кировский район, г Астрахань, ул Набережная 1 Мая, 58",ТС1,"В-класс (малый) до 3,9 м",FAW Jetta,Черный,Технические неисправности отсутствуют,2014,Передний,Нет
2018-11-17T16:25:00Z,"Кировский район, г Астрахань, ул Набережная 1 Мая, 58",ТС2,"В-класс (малый) до 3,9 м",TOYOTA Corolla,Синий,Технические неисправности отсутствуют,2006,Передний,Нет
2018-11-16T08:50:00Z,"Советский район, г Астрахань, ул Богдана Хмельницкого, 14",ТС1,"В-класс (малый) до 3,9 м",ВАЗ  Жигули  ВАЗ-2104 модификации,Красный,Технические неисправности отсутствуют,1996,Задний,Да
2018-11-16T05:30:00Z,"Ленинский район, г Астрахань",ТС1,Одноэтажные длиной от 5 до 8 м,ПАЗ Прочие модели ПАЗ,Белый,Технические неисправности отсутствуют,2009,Задний,Нет
2018-11-16T05:30:00Z,"Ленинский район, г Астрахань",ТС2,"В-класс (малый) до 3,9 м",ВАЗ Priora,Серый,Технические неисправности отсутствуют,2017,Передний,Нет
2018-11-15T13:40:00Z,"Кировский район, г Астрахань, ул Адмиралтейская, 8",ТС1,Одноэтажные длиной от 5 до 8 м,"ГАЗ 3221  Газель , 32217, 32213, 32212, 322172, 322132, 322133 и модификации",Белый,"На одну ось ТС установлены шины различных размеров, конструкций (радиальной, диагональной, камерной, бескамерной), моделей, с различными рисунками протектора. На ТС одновременно установлены ошипованные и неошипованные шины",2012,Задний,Нет
2018-11-15T23:30:00Z,"Трусовский район, г Астрахань",ТС1,"В-класс (малый) до 3,9 м",CHEVROLET Lanos,Серый,Технические неисправности отсутствуют,2006,Передний,Нет
2018-12-13T18:10:00Z,"Кировский район, г Астрахань, ул Софьи Перовской, 64",ТС1,Минивэны и универсалы повышенной вместимости,CITROEN C3,Белый,Технические неисправности отсутствуют,2012,Задний,Да
2018-12-13T17:50:00Z,"Трусовский район, г Астрахань, ул Пирогова, 69",ТС1,Минивэны и универсалы повышенной вместимости,ВАЗ  Жигули  ВАЗ-2104 модификации,Белый,Технические неисправности отсутствуют,2003,Задний,Нет
2018-12-13T17:50:00Z,"Трусовский район, г Астрахань, ул Пирогова, 69",ТС2,"В-класс (малый) до 3,9 м",AUDI А6,Серый,Технические неисправности отсутствуют,2011,Полноприводный,Нет
2018-12-13T20:30:00Z,Приволжский район,ТС1,"D-класс (средний) до 4,6 м",ВАЗ Largus (Ларгус),Белый,Технические неисправности отсутствуют,2012,Передний,Нет
2018-12-13T20:30:00Z,Приволжский район,ТС2,"D-класс (средний) до 4,6 м",HYUNDAI Solaris,Белый,Технические неисправности отсутствуют,2018,Передний,Нет
2018-12-12T18:40:00Z,Наримановский район,ТС1,Бортовые грузовые автомобили,ГАЗ Прочие модели ГАЗ,Белый,Технические неисправности отсутствуют,2006,Задний,Нет
2018-12-12T17:50:00Z,"Советский район, г Астрахань, ул Звездная, .",ТС1,Прочие одноярусные,"ГАЗ 3221  Газель , 32217, 32213, 32212, 322172, 322132, 322133 и модификации",Белый,Технические неисправности отсутствуют,2011,Задний,Да
2018-12-12T20:20:00Z,"Кировский район, г Астрахань, ул Свердлова, 92",ТС1,"В-класс (малый) до 3,9 м",LEXUS RX,Коричневый,Технические неисправности отсутствуют,2016,Полноприводный,Нет
2018-12-12T20:20:00Z,"Кировский район, г Астрахань, ул Свердлова, 92",ТС2,Прочие легковые автомобили,TOYOTA Camry,Белый,Технические неисправности отсутствуют,2017,Передний,Нет
2018-12-12T19:15:00Z,"Трусовский район, г Астрахань, пер Ленинградский, 29",ТС1,"В-класс (малый) до 3,9 м",ВАЗ  Жигули  ВАЗ-2104 модификации,Синий,Технические неисправности отсутствуют,2002,Передний,Нет
